id,advmath8,urban,region,gender,famsize,parmarl8,homelang,slfcnc08,slfcnc10,slfcnc12,schtyp8,tcherint,late12,cuts12,absent12,approg,hwkin12,hwkout12,excurr12,computer,hsprog,unitengl,unitmath,unitcalc,schattrt,apoffer,nursery,algebra8,numinst,edexpect,expinc30,achrdg08,achmat08,achsci08,achsls08,achrdg10,achmat10,achsci10,achsls10,achrdg12,achmat12,achsci12,achsls12,cigarett,alcbinge,marijuan,ses
1,1,1,1,0,4,2,4,27,22,36,2,2,3,0,2,1,2,3,5,1,2,4,3,1,94,6,1,0,1,4,55000,41.94,47.44,37.83,57.4,41.49,55.23,40.69,55.84,52.56,59.69,47.81,55.23,0,1,0,23
2,NA,1,1,1,7,6,4,29,23,22,2,2,0,0,1,1,4,3,6,0,2,4,4,0,94,6,1,1,2,3,50000,53.86,54.49,43.89,60.99,48.7,53.25,38.09,51.45,53.12,55.36,44.86,61.19,0,0,0,20
3,0,2,2,0,4,6,4,17,19,33,2,2,3,2,2,1,2,2,0,0,2,4,3,0,97,2,1,0,1,1,35000,53.06,58.05,53.64,50.62,56.94,55.24,50.31,45.26,54.79,56.73,45.78,45.34,1,1,1,20
4,0,1,2,1,3,6,4,18,21,29,3,2,0,0,1,0,3,3,1,0,2,4,3,0,97,5,1,0,1,2,24000,41.86,43.09,45.4,40.69,42.64,52.18,43.42,45.12,44.77,51.08,39.23,35.22,0,0,1,29
5,1,1,2,0,4,6,4,32,35,41,3,1,1,0,1,1,1,3,2,1,1,4,4,0,97,5,1,1,1,3,60000,67.97,64.91,68.28,50.42,63.29,58.64,63.9,67.21,61.99,55.75,66.78,65.25,0,1,1,21
6,0,1,2,1,4,6,4,9,16,27,3,2,3,0,1,1,4,5,0,0,2,4,4,0,97,5,0,1,1,4,25000,62.84,61.04,53.38,54.42,65.66,65.51,61.55,63.37,65.02,61.82,61.97,62.77,1,1,1,20
7,1,1,2,1,4,NA,4,20,26,33,3,1,1,0,1,0,8,6,7,0,2,3,4,0,97,5,NA,NA,1,2,28000,64.53,66.62,62.79,56.47,63.43,64.75,69.23,66.5,60.49,63.03,64.01,61.02,0,0,0,19
8,1,1,2,1,3,6,4,32,28,43,2,1,0,0,1,1,8,8,4,1,2,4.5,5,0,95,6,1,1,1,3,30000,70.55,55.02,58.83,52.93,63.86,56.25,49.5,49.63,64.59,48.74,50.01,48.79,0,0,0,20
9,1,1,2,1,5,6,4,23,21,29,2,2,0,0,2,0,1,8,0,1,4,4.5,3,0,NA,NA,0,1,2,2,25000,56.9,55.53,47.51,44.06,62.38,55.62,47.22,47.97,58.11,55.58,53.24,59.18,0,0,0,18
10,0,1,2,0,5,6,4,30,33,41,2,1,0,0,2,0,2,2,2,1,2,4,4,0,97,0,0,0,1,4,30000,56.02,58.93,69.31,64.68,66,61.4,62.59,68.83,60.36,61,64.51,66.05,0,0,0,29
11,0,2,2,0,5,6,4,26,19,29,2,2,1,0,1,0,2,1,1,0,4,3,2,0,95,0,NA,0,2,1,40000,51.89,50.8,54.17,59.45,61.63,59.42,63,59.32,47.41,57.53,58.02,64.3,0,1,0,13
12,0,1,2,1,9,6,2,13,15,17,1,2,1,0,3,0,2,3,1,0,2,5,4,0,84,0,NA,0,2,2,NA,40.7,38.38,36.43,44.68,46.24,36.31,37,46.08,41.74,35.25,39.45,40.56,0,0,0,6
13,1,2,2,1,5,6,3,27,28,40,1,3,0,0,1,1,4,2,3,0,2,3,4,0,96,0,0,0,1,4,20000,58.4,56.68,55.31,48.76,51.57,56.74,58.13,48.79,55.25,60.18,53.2,57.08,0,1,1,8
14,1,2,2,1,5,6,3,30,31,41,1,2,0,0,0,1,5,8,3,0,1,5,4.5,1,NA,4,1,1,1,3,30000,66.5,54.7,64.78,59.68,60.73,55.78,66.98,59.04,64.83,61.27,64.07,64.81,0,0,0,24
15,0,2,2,0,3,6,4,20,21,20,1,3,2,1,0,1,3,2,0,1,1,4,3.5,0,NA,4,1,0,1,4,25000,41.15,47.02,40.88,46.78,47.35,49.13,56.54,51.6,53.78,48.39,50.03,60.06,0,0,1,17
16,0,2,2,1,4,1,4,19,12,9,1,2,1,0,2,0,3,0,3,1,2,4,3,0,88,4,NA,0,2,1,35000,51.39,54.75,51.63,58.61,55.85,52.84,48.06,55.61,51.34,50.27,48.21,55.86,0,0,0,18
17,1,1,2,1,4,NA,4,30,33,29,1,2,4,1,1,1,7,6,2,0,2,4,3.5,0,91,32,NA,NA,1,2,25000,60.46,63.94,51.64,54.02,56.34,62.74,44.96,46.46,60.3,61.75,58.69,51.73,0,0,0,17
18,0,3,2,1,4,NA,4,27,21,29,1,2,1,0,2,0,3,3,4,0,2,4,4,0,96,32,NA,NA,1,4,60000,51.96,51.36,55.97,61.77,63.72,61.25,54,59.15,57.97,64.09,49.97,55.77,0,0,0,6
